"","V1","V3"
"191","Q34_HHM2_name",""
"192","Q34_HHM3_name",""
"193","Q34_HHM4_name",""
"194","Q34_HHM5_name",""
"195","Q34_HHM6_name",""
"196","Q34_HHM7_name",""
"197","Q34_HHM8_name",""
"198","Q34_HHM9_name",""
"199","Q34_HHM10_name",""
"200","Q34_HHM11_name",""
"201","Q34_HHM12_name",""
"202","Q34_HHM13_name",""
"203","Q34_HHM14_name",""
"204","Q34_HHM15_name",""
"205","Q34_HHM16_name",""
"206","Q34_HHM17_name",""
"207","Q34_HHM18_name",""
"208","Q34_HHM19_name",""
"209","Q34_HHM20_name",""
"210","Q34_HHM21_name",""
"211","Q34_HHM22_name",""
"212","Q34_HHM23_name",""
"213","Q34_HHM24_name",""
"214","Q34_HHM25_name",""
"215","Q34_HHM26_name",""
"216","Q34_HHM27_name",""
"217","Q34_HHM28_name",""
"218","Q34_HHM29_name",""
"219","Q34_HHM1_name_Codes","Codes"
"220","Q34_HHM2_name_Codes","Codes"
"221","Q34_HHM3_name_Codes","Codes"
"222","Q34_HHM4_name_Codes","Codes"
"223","Q34_HHM5_name_Codes","Codes"
"224","Q34_HHM6_name_Codes","Codes"
"225","Q34_HHM7_name_Codes","Codes"
"226","Q34_HHM8_name_Codes","Codes"
"227","Q34_HHM9_name_Codes","Codes"
"228","Q34_HHM10_name_Codes","Codes"
"229","Q34_HHM11_name_Codes","Codes"
"230","Q34_HHM12_name_Codes","Codes"
"231","Q34_HHM13_name_Codes","Codes"
"232","Q34_HHM14_name_Codes","Codes"
"233","Q34_HHM15_name_Codes","Codes"
"234","Q34_HHM16_name_Codes","Codes"
"235","Q34_HHM17_name_Codes","Codes"
"236","Q34_HHM18_name_Codes","Codes"
"237","Q34_HHM19_name_Codes","Codes"
"238","Q34_HHM20_name_Codes","Codes"
"239","Q34_HHM21_name_Codes","Codes"
"240","Q34_HHM22_name_Codes","Codes"
"241","Q34_HHM23_name_Codes","Codes"
"242","Q34_HHM24_name_Codes","Codes"
"243","Q34_HHM25_name_Codes","Codes"
"244","Q34_HHM26_name_Codes","Codes"
"245","Q34_HHM27_name_Codes","Codes"
"246","Q34_HHM28_name_Codes","Codes"
"247","Q34_HHM29_name_Codes","Codes"
"248","Q34_HHM1_Age",""
"249","Q34_HHM2_Age",""
"250","Q34_HHM3_Age",""
"251","Q34_HHM4_Age",""
"252","Q34_HHM5_Age",""
"253","Q34_HHM6_Age",""
"254","Q34_HHM7_Age",""
"255","Q34_HHM8_Age",""
"256","Q34_HHM9_Age",""
"257","Q34_HHM10_Age",""
"258","Q34_HHM11_Age",""
"259","Q34_HHM12_Age",""
"260","Q34_HHM13_Age",""
"261","Q34_HHM14_Age",""
"262","Q34_HHM15_Age",""
"263","Q34_HHM16_Age",""
"264","Q34_HHM17_Age",""
"265","Q34_HHM18_Age",""
"266","Q34_HHM19_Age",""
"267","Q34_HHM20_Age",""
"268","Q34_HHM21_Age",""
"269","Q34_HHM22_Age",""
"270","Q34_HHM23_Age",""
"271","Q34_HHM24_Age",""
"272","Q34_HHM25_Age",""
"273","Q34_HHM26_Age",""
"274","Q34_HHM27_Age",""
"275","Q34_HHM28_Age",""
"276","Q34_HHM29_Age",""
"277","Q34_HHM1_Age_Codes","Codes"
"278","Q34_HHM2_Age_Codes","Codes"
"279","Q34_HHM3_Age_Codes","Codes"
"280","Q34_HHM4_Age_Codes","Codes"
"281","Q34_HHM5_Age_Codes","Codes"
"282","Q34_HHM6_Age_Codes","Codes"
"283","Q34_HHM7_Age_Codes","Codes"
"284","Q34_HHM8_Age_Codes","Codes"
"285","Q34_HHM9_Age_Codes","Codes"
"286","Q34_HHM10_Age_Codes","Codes"
"287","Q34_HHM11_Age_Codes","Codes"
"288","Q34_HHM12_Age_Codes","Codes"
"289","Q34_HHM13_Age_Codes","Codes"
"290","Q34_HHM14_Age_Codes","Codes"
"291","Q34_HHM15_Age_Codes","Codes"
"292","Q34_HHM16_Age_Codes","Codes"
"293","Q34_HHM17_Age_Codes","Codes"
"294","Q34_HHM18_Age_Codes","Codes"
"295","Q34_HHM19_Age_Codes","Codes"
"296","Q34_HHM20_Age_Codes","Codes"
"297","Q34_HHM21_Age_Codes","Codes"
"298","Q34_HHM22_Age_Codes","Codes"
"299","Q34_HHM23_Age_Codes","Codes"
"300","Q34_HHM24_Age_Codes","Codes"
"301","Q34_HHM25_Age_Codes","Codes"
"302","Q34_HHM26_Age_Codes","Codes"
"303","Q34_HHM27_Age_Codes","Codes"
"304","Q34_HHM28_Age_Codes","Codes"
"305","Q34_HHM29_Age_Codes","Codes"
"306","Q34_Grid_1_VALID_ENTRY1",""
"307","Q34_Grid_1_VALID_ENTRY2",""
"308","Q34_Grid_1_VALID_ENTRY3",""
"309","Q34_Grid_2_VALID_ENTRY1",""
"310","Q34_Grid_2_VALID_ENTRY2",""
"311","Q34_Grid_2_VALID_ENTRY3",""
"312","Q34_Grid_3_VALID_ENTRY1",""
"313","Q34_Grid_3_VALID_ENTRY2",""
"314","Q34_Grid_3_VALID_ENTRY3",""
"315","Q34_Grid_4_VALID_ENTRY1",""
"316","Q34_Grid_4_VALID_ENTRY2",""
"317","Q34_Grid_4_VALID_ENTRY3",""
"318","Q34_Grid_5_VALID_ENTRY1",""
"319","Q34_Grid_5_VALID_ENTRY2",""
"320","Q34_Grid_5_VALID_ENTRY3",""
"321","Q34_Grid_6_VALID_ENTRY1",""
"322","Q34_Grid_6_VALID_ENTRY2",""
"323","Q34_Grid_6_VALID_ENTRY3",""
"324","Q34_Grid_7_VALID_ENTRY1",""
"325","Q34_Grid_7_VALID_ENTRY2",""
"326","Q34_Grid_7_VALID_ENTRY3",""
"327","Q34_Grid_8_VALID_ENTRY1",""
"328","Q34_Grid_8_VALID_ENTRY2",""
"329","Q34_Grid_8_VALID_ENTRY3",""
"330","Q34_Grid_9_VALID_ENTRY1",""
"331","Q34_Grid_9_VALID_ENTRY2",""
"332","Q34_Grid_9_VALID_ENTRY3",""
"333","Q34_Grid_10_VALID_ENTRY1",""
"334","Q34_Grid_10_VALID_ENTRY2",""
"335","Q34_Grid_10_VALID_ENTRY3",""
"336","Q34_Grid_11_VALID_ENTRY1",""
"337","Q34_Grid_11_VALID_ENTRY2",""
"338","Q34_Grid_11_VALID_ENTRY3",""
"339","Q34_Grid_12_VALID_ENTRY1",""
"340","Q34_Grid_12_VALID_ENTRY2",""
"341","Q34_Grid_12_VALID_ENTRY3",""
"342","Q34_Grid_13_VALID_ENTRY1",""
"343","Q34_Grid_13_VALID_ENTRY2",""
"344","Q34_Grid_13_VALID_ENTRY3",""
"345","Q34_Grid_14_VALID_ENTRY1",""
"346","Q34_Grid_14_VALID_ENTRY2",""
"347","Q34_Grid_14_VALID_ENTRY3",""
"348","Q34_Grid_15_VALID_ENTRY1",""
"349","Q34_Grid_15_VALID_ENTRY2",""
"350","Q34_Grid_15_VALID_ENTRY3",""
"351","Q34_Grid_16_VALID_ENTRY1",""
"352","Q34_Grid_16_VALID_ENTRY2",""
"353","Q34_Grid_16_VALID_ENTRY3",""
"354","Q34_Grid_17_VALID_ENTRY1",""
"355","Q34_Grid_17_VALID_ENTRY2",""
"356","Q34_Grid_17_VALID_ENTRY3",""
"357","Q34_Grid_18_VALID_ENTRY1",""
"358","Q34_Grid_18_VALID_ENTRY2",""
"359","Q34_Grid_18_VALID_ENTRY3",""
"360","Q34_Grid_19_VALID_ENTRY1",""
"361","Q34_Grid_19_VALID_ENTRY2",""
"362","Q34_Grid_19_VALID_ENTRY3",""
"363","Q34_Grid_20_VALID_ENTRY1",""
"364","Q34_Grid_20_VALID_ENTRY2",""
"365","Q34_Grid_20_VALID_ENTRY3",""
"366","Q34_Grid_21_VALID_ENTRY1",""
"367","Q34_Grid_21_VALID_ENTRY2",""
"368","Q34_Grid_21_VALID_ENTRY3",""
"369","Q34_Grid_22_VALID_ENTRY1",""
"370","Q34_Grid_22_VALID_ENTRY2",""
"371","Q34_Grid_22_VALID_ENTRY3",""
"372","Q34_Grid_23_VALID_ENTRY1",""
"373","Q34_Grid_23_VALID_ENTRY2",""
"374","Q34_Grid_23_VALID_ENTRY3",""
"375","Q34_Grid_24_VALID_ENTRY1",""
"376","Q34_Grid_24_VALID_ENTRY2",""
"377","Q34_Grid_24_VALID_ENTRY3",""
"378","Q34_Grid_25_VALID_ENTRY1",""
"379","Q34_Grid_25_VALID_ENTRY2",""
"380","Q34_Grid_25_VALID_ENTRY3",""
"381","Q34_Grid_26_VALID_ENTRY1",""
"382","Q34_Grid_26_VALID_ENTRY2",""
"383","Q34_Grid_26_VALID_ENTRY3",""
"384","Q34_Grid_27_VALID_ENTRY1",""
"385","Q34_Grid_27_VALID_ENTRY2",""
"386","Q34_Grid_27_VALID_ENTRY3",""
"387","Q34_Grid_28_VALID_ENTRY1",""
"388","Q34_Grid_28_VALID_ENTRY2",""
"389","Q34_Grid_28_VALID_ENTRY3",""
"390","Q34_Grid_29_VALID_ENTRY1",""
"391","Q34_Grid_29_VALID_ENTRY2",""
"392","Q34_Grid_29_VALID_ENTRY3",""
"393","Q34_Grid_ASK_name",""
"394","Q34_HHMSELECTED01",""
"395","Q34_HHMSELECTED02",""
"396","Q34_HHMSELECTED03",""
"397","Q34_HHMSELECTED04",""
"398","Q34_HHMSELECTED05",""
"399","Q34_HHMSELECTED06",""
"400","Q34_HHMSELECTED07",""
"401","Q34_HHMSELECTED08",""
"402","Q34_HHMSELECTED09",""
"403","Q34_HHMSELECTED10",""
"404","Q34_HHMSELECTED11",""
"405","Q34_HHMSELECTED12",""
"406","Q34_HHMSELECTED13",""
"407","Q34_HHMSELECTED14",""
"408","Q34_HHMSELECTED15",""
"409","Q34_HHMSELECTED16",""
"410","Q34_HHMSELECTED17",""
"411","Q34_HHMSELECTED18",""
"412","Q34_HHMSELECTED19",""
"413","Q34_HHMSELECTED20",""
"414","Q34_HHMSELECTED21",""
"415","Q34_HHMSELECTED22",""
"416","Q34_HHMSELECTED23",""
"417","Q34_HHMSELECTED24",""
"418","Q34_HHMSELECTED25",""
"419","Q34_HHMSELECTED26",""
"420","Q34_HHMSELECTED27",""
"421","Q34_HHMSELECTED28",""
"422","Q34_HHMSELECTED29",""
"423","Q34_HHMSELECTEDONE_101",""
"424","Q34_HHMSELECTEDONE_102",""
"425","Q34_HHMSELECTEDONE_103",""
"426","Q34_HHMSELECTEDONE_104",""
"427","Q34_HHMSELECTEDONE_105",""
"428","Q34_HHMSELECTEDONE_106",""
"429","Q34_HHMSELECTEDONE_107",""
"430","Q34_HHMSELECTEDONE_108",""
"431","Q34_HHMSELECTEDONE_109",""
"432","Q34_HHMSELECTEDONE_110",""
"433","Q34_HHMSELECTEDONE_111",""
"434","Q34_HHMSELECTEDONE_112",""
"435","Q34_HHMSELECTEDONE_113",""
"436","Q34_HHMSELECTEDONE_114",""
"437","Q34_HHMSELECTEDONE_115",""
"438","Q34_HHMSELECTEDONE_116",""
"439","Q34_HHMSELECTEDONE_117",""
"440","Q34_HHMSELECTEDONE_118",""
"441","Q34_HHMSELECTEDONE_119",""
"442","Q34_HHMSELECTEDONE_120",""
"443","Q34_HHMSELECTEDONE_121",""
"444","Q34_HHMSELECTEDONE_122",""
"445","Q34_HHMSELECTEDONE_123",""
"446","Q34_HHMSELECTEDONE_124",""
"447","Q34_HHMSELECTEDONE_125",""
"448","Q34_HHMSELECTEDONE_126",""
"449","Q34_HHMSELECTEDONE_127",""
"450","Q34_HHMSELECTEDONE_128",""
"451","Q34_HHMSELECTEDONE_129",""
"452","HHM1_AGE",""
"453","HHM1_Name",""
"454","Q34_HHMSELECTEDONE_201",""
"455","Q34_HHMSELECTEDONE_202",""
"456","Q34_HHMSELECTEDONE_203",""
"457","Q34_HHMSELECTEDONE_204",""
"458","Q34_HHMSELECTEDONE_205",""
"459","Q34_HHMSELECTEDONE_206",""
"460","Q34_HHMSELECTEDONE_207",""
"461","Q34_HHMSELECTEDONE_208",""
"462","Q34_HHMSELECTEDONE_209",""
"463","Q34_HHMSELECTEDONE_210",""
"464","Q34_HHMSELECTEDONE_211",""
"465","Q34_HHMSELECTEDONE_212",""
"466","Q34_HHMSELECTEDONE_213",""
"467","Q34_HHMSELECTEDONE_214",""
"468","Q34_HHMSELECTEDONE_215",""
"469","Q34_HHMSELECTEDONE_216",""
"470","Q34_HHMSELECTEDONE_217",""
"471","Q34_HHMSELECTEDONE_218",""
"472","Q34_HHMSELECTEDONE_219",""
"473","Q34_HHMSELECTEDONE_220",""
"474","Q34_HHMSELECTEDONE_221",""
"475","Q34_HHMSELECTEDONE_222",""
"476","Q34_HHMSELECTEDONE_223",""
"477","Q34_HHMSELECTEDONE_224",""
"478","Q34_HHMSELECTEDONE_225",""
"479","Q34_HHMSELECTEDONE_226",""
"480","Q34_HHMSELECTEDONE_227",""
"481","Q34_HHMSELECTEDONE_228",""
"482","Q34_HHMSELECTEDONE_229",""
"483","HHM2_AGE",""
"484","HHM2_Name",""
"485","Q35",""
"486","Q36",""
"487","Q36_Codes","Codes"
"488","Q37",""
"489","Q37_Codes","Codes"
"490","Q38",""
"491","Q38_Codes","Codes"
"492","Q39",""
"493","Q40",""
"494","Q41",""
"495","Q42",""
"496","Q43",""
"497","Q44",""
"498","Q44_Codes","Codes"
"499","Q45",""
"500","Q45_Codes","Codes"
"501","Q46",""
"502","Q46_Codes","Codes"
"503","Q47",""
"504","Q48",""
"505","Q49",""
"506","Q50",""
